Non-optimal chan    7 proposed C3       at cool       1 iteration      67
Non-optimal chan    5 proposed C2       at cool       1 iteration      68
Non-optimal chan    7 proposed C3       at cool       1 iteration      68
Non-optimal chan    9 proposed C1       at cool       1 iteration      69
Non-optimal chan    9 proposed C2       at cool       1 iteration      69
Non-optimal chan   10 proposed C3       at cool       1 iteration      69
Non-optimal chan   12 proposed C1       at cool       1 iteration      70
Non-optimal chan    4 proposed C2       at cool       1 iteration      70
Non-optimal chan    7 proposed C2       at cool       1 iteration      70
Non-optimal chan    5 proposed C3       at cool       1 iteration      70
Non-optimal chan    9 proposed C3       at cool       1 iteration      70
Non-optimal chan    3 proposed C2       at cool       1 iteration      71
Non-optimal chan    3 proposed C2       at cool       1 iteration      71
Non-optimal chan   13 proposed C3       at cool       1 iteration      71
Non-optimal chan    2 proposed C1       at cool       1 iteration      72
Non-optimal chan    1 proposed C1       at cool       1 iteration      72
Non-optimal chan    7 proposed C2       at cool       1 iteration      72
Non-optimal chan    2 proposed C2       at cool       1 iteration      72
Non-optimal chan    2 proposed C1       at cool       1 iteration      73
Non-optimal chan    5 proposed C1       at cool       1 iteration      73
Non-optimal chan    5 proposed C2       at cool       1 iteration      73
Non-optimal chan    3 proposed C2       at cool       1 iteration      73
Non-optimal chan    1 proposed C3       at cool       1 iteration      73
Non-optimal chan   10 proposed C1       at cool       1 iteration      74
Non-optimal chan    4 proposed C1       at cool       1 iteration      74
Non-optimal chan   13 proposed C2       at cool       1 iteration      74
Non-optimal chan   12 proposed C2       at cool       1 iteration      74
Non-optimal chan    5 proposed C3       at cool       1 iteration      74
Non-optimal chan    9 proposed C3       at cool       1 iteration      74
Non-optimal chan    9 proposed C1       at cool       1 iteration      75
Non-optimal chan    2 proposed C1       at cool       1 iteration      75
Non-optimal chan    4 proposed C3       at cool       1 iteration      75
Non-optimal chan   10 proposed C3       at cool       1 iteration      75
Non-optimal chan    1 proposed C1       at cool       1 iteration      76
Non-optimal chan    1 proposed C2       at cool       1 iteration      76
Non-optimal chan   11 proposed C3       at cool       1 iteration      76
Non-optimal chan    5 proposed C1       at cool       1 iteration      77
Non-optimal chan   13 proposed C2       at cool       1 iteration      77
Non-optimal chan    5 proposed C3       at cool       1 iteration      77
Non-optimal chan    9 proposed C1       at cool       1 iteration      78
Non-optimal chan    1 proposed C2       at cool       1 iteration      78
